Neighbourhood,Neighbourhood Id,Catholic School Graduation,Catholic School Literacy,Catholic University Applicants,Early Development Instrument,Library Activity,Library Open Hours,Library Program Attendance,Library Programs,Library Space
West Humber-Clairville,1,0.810055,68.518516,33.110366,50,1,4,2,3,2
Mount Olive-Silverstone-Jamestown,2,0.792899,59.2,19.122257,50,5,8,7,6,6
Thistletown-Beaumond Heights,3,0.73,68.888885,33.116882,100,5,9,6,6,6
Rexdale-Kipling,4,0.864197,74.074073,32.330825,50,5,9,6,6,6
Elms-Old Rexdale,5,0.653333,59.2,28.695652,50,1,4,1,2,2
Kingsview Village-The Westway,6,0.854304,76.666664,42.060085,50,5,9,6,6,7
Willowridge-Martingrove-Richview,7,0.884615,84.771575,52,100,5,9,6,7,7
Humber Heights-Westmount,8,0.85,81.034484,45.76271,100,5,9,6,7,8
Edenbridge-Humber Valley,9,0.875,85.454544,61.85567,100,5,9,7,7,8
Princess-Rosethorn,10,0.955882,91.304344,68.918922,100,6,9,6,7,8
Eringate-Centennial-West Deane,11,0.924107,86.71875,59.778598,100,2,4,2,2,2
Markland Wood,12,0.966666,91.666664,66.666664,100,2,5,2,3,3
Etobicoke West Mall,13,0.907894,81.707313,46.226413,100,3,5,3,3,3
Islington-City Centre West,14,0.876288,86.428573,62.551441,100,3,5,2,3,3
Kingsway South,15,0.944444,92.857139,68.421051,100,4,9,5,6,4
Stonegate-Queensway,16,0.885964,91.489364,49.35065,100,3,9,4,5,4
Mimico,17,0.921985,86.124404,53.535354,100,1,4,2,2,3
New Toronto,18,0.830508,87.209304,48.863636,50,1,4,2,2,2
Long Branch,19,0.875,85.542167,51.315788,100,1,4,2,2,2
Alderwood,20,0.867256,91.216217,55.172412,50,1,4,2,2,3
Humber Summit,21,0.782258,70.400001,27.058822,100,1,4,3,2,3
Humbermede,22,0.827586,67.346939,32.967033,50,1,4,1,2,2
Pelmo Park-Humberlea,23,0.887096,76.5625,37.430168,100,1,4,2,2,2
Black Creek,24,0.823529,54.787235,22.64151,0,3,8,9,8,6
Glenfield-Jane Heights,25,0.816176,66.871162,28.498727,0,3,8,8,8,6
Downsview-Roding-CFB,26,0.831615,76.190475,31.914894,100,2,4,3,4,3
York University Heights,27,0.810218,74.725273,37.991268,100,4,8,9,8,6
Rustic,28,0.822916,68.06723,39.2,50,2,4,2,2,2
Maple Leaf,29,0.879999,75.833335,38.46154,100,2,4,3,3,3
Brookhaven-Amesbury,30,0.831168,66.315788,34.433963,100,1,4,2,3,2
Yorkdale-Glen Park,31,0.868613,78.709678,37.5,0,3,9,7,8,7
Englemount-Lawrence,32,0.783783,69.607841,35.294116,50,5,9,6,8,8
Clanton Park,33,0.916666,80.882354,45.348838,100,2,4,3,3,3
Bathurst Manor,34,0.81081,90.625,43.939392,100,2,4,2,2,2
Westminster-Branson,35,0.586206,69.230766,35,0,2,4,2,2,2
Newtonbrook West,36,0.788461,81.818183,52.702701,50,2,4,2,2,2
Willowdale West,37,0.90625,90.625,62.222221,100,2,4,2,2,2
Lansing-Westgate,38,0.931034,95.555557,48.648647,100,2,4,1,2,2
Bedford Park-Nortown,39,0.818181,78.846153,52.307693,100,5,9,5,7,7
St.Andrew-Windfields,40,0.782608,90.909088,51.515151,100,2,4,1,1,2
Bridle Path-Sunnybrook-York Mills,41,0.833333,87.5,66.666664,100,5,8,4,4,6
Banbury-Don Mills,42,0.878787,91.228073,61.666667,100,5,8,4,5,5
Victoria Village,43,0.804878,78.260871,34.88372,50,2,4,2,2,2
Flemingdon Park,44,0.8125,75,35.802467,100,3,6,3,4,6
Parkwoods-Donalda,45,0.856115,77.832511,47.417839,100,5,8,4,5,5
Pleasant View,46,0.882352,82.53968,61.842105,100,8,8,7,4,9
Don Valley Village,47,0.795698,77.192985,55.882354,100,8,8,7,4,9
Hillcrest Village,48,0.904761,87.719299,68.888885,100,2,4,1,2,2
Bayview Woods-Steeles,49,0.865384,78.431373,60.869564,50,2,4,1,1,2
Newtonbrook East,50,0.933333,84.210525,73.529411,50,2,4,1,1,2
Willowdale East,51,0.789473,89.393936,62.5,100,2,4,1,1,2
Bayview Village,52,0.916666,75.925926,59.649124,100,8,8,6,4,9
Henry Farm,53,0.894736,81.395347,38.028167,50,8,8,7,5,9
O'Connor-Parkview,54,0.75,83.582092,36.231884,100,3,6,3,3,6
Thorncliffe Park,55,0.875,85.714286,21.428571,0,2,3,2,3,5
Leaside-Bennington,56,0.793103,83.333335,53.57143,100,3,8,3,4,4
Broadview North,57,0.714285,65.217391,46.153846,100,3,8,3,3,3
Old East York,58,0.666666,87.5,22.857143,100,3,8,3,3,3
Danforth-East York,59,0.75,88.888885,48.837207,100,4,9,3,4,4
Woodbine-Lumsden,60,0.833333,69.230766,33.333332,50,3,7,3,4,7
Taylor-Massey,61,0.743589,75,36.842105,0,3,7,3,4,5
East End-Danforth,62,0.82258,80,40.625,100,2,5,3,3,3
The Beaches,63,0.861111,86.486488,54.166667,100,2,5,3,3,3
Woodbine Corridor,64,0.695652,67.741935,33.333332,100,4,10,4,4,4
Greenwood-Coxwell,65,0.695652,64,32.558139,100,4,10,4,4,4
Danforth,66,0.793103,85.714286,44.444442,100,4,10,4,4,4
Playter Estates-Danforth,67,0.5,85.714286,80,100,4,9,4,5,5
North Riverdale,68,0.899999,70,26.666666,100,4,10,5,6,6
Blake-Jones,69,0.692307,53.333332,27.272727,50,4,9,4,4,4
South Riverdale,70,0.657142,65.116279,38.235294,100,2,4,2,2,3
Cabbagetown-South St.James Town,71,1,76.92308,50,50,4,10,5,6,6
Regent Park,72,0.785714,63.636363,22.916666,50,4,10,5,6,5
Moss Park,73,0.5,40,14.285714,50,5,9,5,6,5
North St.James Town,74,0.692307,64.285713,25.352111,50,6,9,6,7,8
Church-Yonge Corridor,75,0.555555,64.285713,33.333332,100,5,9,5,7,7
Bay Street Corridor,76,0.875,92.307693,58.333332,100,5,9,5,6,6
Waterfront Communities-The Island,77,0.846153,61.11111,54.545455,50,2,4,2,3,3
Kensington-Chinatown,78,0.73913,61.538459,21.276596,50,6,9,5,6,6
University,79,1,66.666664,60,100,5,9,5,6,6
Palmerston-Little Italy,80,0.785714,75,32.352939,50,5,9,5,6,5
Trinity-Bellwoods,81,0.717948,72.222221,22.580644,50,6,10,6,7,6
