,District,Year,CompBenchmark,CompYoYChange
567,Old Toronto,2015,602000.0,6.93
568,Old Toronto,2015,602000.0,6.93
569,Old Toronto,2015,603600.0,7.54
570,Old Toronto,2015,603600.0,7.54
571,Old Toronto,2015,607600.0,8.62
572,Old Toronto,2015,607600.0,8.62
573,Old Toronto,2015,609500.0,8.21
574,Old Toronto,2015,609500.0,8.21
575,Old Toronto,2015,612800.0,8.03
576,Old Toronto,2015,612800.0,8.03
577,Old Toronto,2015,613200.0,7.66
578,Old Toronto,2015,613200.0,7.66
579,Old Toronto,2016,617100.0,8.35
580,Old Toronto,2016,617100.0,8.35
581,Old Toronto,2016,621400.0,8.6
582,Old Toronto,2016,621400.0,8.6
583,Old Toronto,2016,633800.0,9.33
584,Old Toronto,2016,633800.0,9.33
585,Old Toronto,2016,646900.0,9.86
586,Old Toronto,2016,646900.0,9.86
587,Old Toronto,2016,666300.0,11.71
588,Old Toronto,2016,666300.0,11.71
589,Old Toronto,2016,676100.0,12.68
590,Old Toronto,2016,676100.0,12.68
591,Old Toronto,2016,682000.0,13.35
592,Old Toronto,2016,682000.0,13.35
593,Old Toronto,2016,685300.0,13.53
594,Old Toronto,2016,685300.0,13.53
595,Old Toronto,2016,690900.0,13.77
596,Old Toronto,2016,690900.0,13.77
597,Old Toronto,2016,705600.0,15.76
598,Old Toronto,2016,705600.0,15.76
599,Old Toronto,2016,713800.0,16.54
600,Old Toronto,2016,713800.0,16.54
601,Old Toronto,2016,720400.0,17.55
602,Old Toronto,2016,720400.0,17.55
603,Old Toronto,2017,720200.0,18.94
604,Old Toronto,2017,720200.0,18.94
605,Old Toronto,2017,737400.0,19.92
606,Old Toronto,2017,737400.0,19.92
607,Old Toronto,2017,778700.0,24.13
608,Old Toronto,2017,778700.0,24.13
609,Old Toronto,2017,817000.0,27.66
610,Old Toronto,2017,817000.0,27.66
611,Old Toronto,2017,830300.0,26.1
612,Old Toronto,2017,830300.0,26.1
613,Old Toronto,2017,829500.0,24.22
614,Old Toronto,2017,829500.0,24.22
615,Old Toronto,2017,807800.0,20.1
616,Old Toronto,2017,807800.0,20.1
617,Old Toronto,2017,790000.0,16.71
